"logFC","logCPM","PValue","FDR"
"Tcas008806",1.16357599394081,2.99401725384931,0.00042778344169667,0.016440046728589
"Tcas000765",-1.12210072655364,7.03996905910597,0.000432311558088573,0.0165045850145178
"Tcas000715",1.11755896949784,3.98644499265177,0.000432766340452729,0.0165045850145178
"Tcas010694",-1.00572963378444,5.8926329250514,0.000442075852724852,0.0167955206099876
"Tcas011930",2.20261818746268,11.2513434481138,0.000446490847243175,0.0168990020668705
"Tcas005997",0.738265206301746,6.60585343484359,0.000455012075078676,0.0171565307705137
"Tcas011166",-0.85586550105063,3.3059464354977,0.000459796577865482,0.0172472803244456
"Tcas001613",-0.885405360620583,6.0643926631963,0.000460871081527919,0.0172472803244456
"Tcas011344",-0.89304281986718,6.23992723960271,0.000465484480271388,0.0173549288316108
"Tcas010457",-2.05230408079546,6.36968215436531,0.000471100415670512,0.0174990161835679
"Tcas005107",-3.00320838330466,4.9138699412725,0.000475547031989726,0.0175987627542272
"Tcas003217",-3.59566694438039,6.6516461783316,0.000486618796620595,0.0179042512588668
"Tcas011402",1.17363759930882,4.27640903527728,0.000487808475292428,0.0179042512588668
"Tcas005972",-2.00923539780831,6.44742920327269,0.000489506226644325,0.0179042512588668
"Tcas001483",-4.81862348442935,2.98515857593703,0.00049096925990087,0.0179042512588668
"Tcas007216",-1.73351023482393,2.40106637191998,0.000493127016378806,0.0179175459914801
"Tcas002004",-1.10246810832928,4.48294298050538,0.000496576951978152,0.0179775250150931
"Tcas008655",-2.79797625881167,6.78029087115353,0.000503275277048835,0.0181542475388879
"Tcas009833",0.830315312508499,7.4206050012556,0.000512176918478709,0.0184088912569757
"Tcas009325",0.982058813100408,5.25754635997104,0.000522239751086632,0.0187032960317478
"Tcas004225",-1.22086884567563,5.09252681034385,0.000524548064550367,0.0187188723606688
"Tcas006208",-1.51068487794664,8.91596771524392,0.000535046747956467,0.0190255768881887
"Tcas002943",0.741913683173767,5.02143513061649,0.000554184440111788,0.0196362089560177
"Tcas004041",-1.30448354423715,5.78022751134104,0.000561092663085344,0.0198056133137696
"Tcas007343",-1.15293649902495,5.23135028155204,0.000562929761920594,0.0198056133137696
